,def_R2,def_RMSE,def_MAE,def_MAPE,tuned_R2,tuned_RMSE,tuned_MAE,tuned_MAPE,tune_time
SGDRegressor,0.8554785549336363,2.7980209307927675,1.7454090200901535,0.5869267903340376,0.8565324159416523,2.7910844134028645,1.764317610980576,0.5883053233981208,9.09
Ridge,0.8556597878191077,2.7971224215674355,1.7432124424772635,0.5846493414333511,0.8557295813227555,2.7964304646673654,1.7460087819943955,0.5868804059396748,4.25
KernelRidge,0.8552820086840777,2.7974403655280877,1.7415226676554112,0.603238236378538,0.8554521574296334,2.796364100859035,1.7413312749984513,0.5995902311887815,3.81
KNeighborsRegressor,0.8643477783004455,2.71275122261527,1.7398848394526485,0.5745562964937514,0.8685747877328007,2.6704801523374337,1.7126916914462964,0.5501818800443874,2.46
CatBoostRegressor,0.8858570754669977,2.490380493119912,1.5844498472153332,0.5335959875707132,0.8882832535878926,2.466349023497071,1.562681062223136,0.5165023550589456,123.63
GradientBoostingRegressor,0.865857829485606,2.710864229310622,1.7924038182783968,0.6145041973303644,0.8766143041203233,2.5829857976356405,1.6500654312564182,0.5595436129850562,35.24
ExtraTreesRegressor,0.8643580846293449,2.7251957342339415,1.8019233843652622,0.6101834965674211,0.8667069570518151,2.703144753103284,1.7922705939210601,0.6024636824817138,39.73
RandomForestRegressor,0.8562124322934552,2.8137921686998184,1.8730684189134266,0.6362468790844882,0.8675427994854867,2.6936914980800957,1.8060716933395646,0.5868749977713652,39.73
LGBMRegressor,0.8628044363440581,2.7524190275482345,1.7873331915804975,0.5911184347310563,0.8702063580876122,2.676980135553934,1.7583891285922881,0.5870627753398696,31.04
XGBRegressor_gbtree,0.8568515736665226,2.8132851976663766,1.8684593818052158,0.6034009879872579,0.8781898100028223,2.5747627439498824,1.6473626382013262,0.5582620545371035,32.63
XGBRegressor_gblinear,0.8532902059869375,2.8176004887155983,1.7485039558312612,0.5865764078686488,0.8536317901572913,2.817133522712536,1.7695252737447533,0.587374160902983,3.74
